0x1000  mov reg0,0x103a               0x18 0x1 0x0 0x3a 0x10 0x0 0x0 
0x1007  mov reg1,0x1edb               0x18 0x1 0x1 0xdb 0x1e 0x0 0x0 
0x100e  mov reg3,reg0                 0x18 0x0 0x3 0x0 
0x1012  mov reg5,0x174cf42            0x18 0x1 0x5 0x42 0xcf 0x74 0x1 
0x1019  mov reg4,[reg3]               0x1b 0x4 0x3 
0x101c  xor reg4,reg4,reg5            0x6 0x0 0x4 0x4 0x5 
0x1021  mov [reg3],reg4               0x1c 0x3 0x4 
0x1024  add reg3,reg3,0x4             0x2 0x1 0x3 0x3 0x4 0x0 0x0 0x0 
0x102c  cmp reg1,reg3                 0x17 0x0 0x1 0x3 
0x1030  jge 0x1019                    0x14 0x19 0x10 0x0 0x0 
0x1019  mov reg4,[reg3]               0x1b 0x4 0x3 
0x101c  xor reg4,reg4,reg5            0x6 0x0 0x4 0x4 0x5 
0x1021  mov [reg3],reg4               0x1c 0x3 0x4 
0x1024  add reg3,reg3,0x4             0x2 0x1 0x3 0x3 0x4 0x0 0x0 0x0 
0x102c  cmp reg1,reg3                 0x17 0x0 0x1 0x3 
0x1030  jge 0x1019                    0x14 0x19 0x10 0x0 0x0 
0x1019  mov reg4,[reg3]               0x1b 0x4 0x3 
0x101c  xor reg4,reg4,reg5            0x6 0x0 0x4 0x4 0x5 
0x1021  mov [reg3],reg4               0x1c 0x3 0x4 
0x1024  add reg3,reg3,0x4             0x2 0x1 0x3 0x3 0x4 0x0 0x0 0x0 
0x102c  cmp reg1,reg3                 0x17 0x0 0x1 0x3 
0x1030  jge 0x1019                    0x14 0x19 0x10 0x0 0x0 
0x1019  mov reg4,[reg3]               0x1b 0x4 0x3 
0x101c  xor reg4,reg4,reg5            0x6 0x0 0x4 0x4 0x5 
0x1021  mov [reg3],reg4               0x1c 0x3 0x4 
0x1024  add reg3,reg3,0x4             0x2 0x1 0x3 0x3 0x4 0x0 0x0 0x0 
0x102c  cmp reg1,reg3                 0x17 0x0 0x1 0x3 
0x1030  jge 0x1019                    0x14 0x19 0x10 0x0 0x0 
0x1019  mov reg4,[reg3]               0x1b 0x4 0x3 
0x101c  xor reg4,reg4,reg5            0x6 0x0 0x4 0x4 0x5 
0x1021  mov [reg3],reg4               0x1c 0x3 0x4 
0x1024  add reg3,reg3,0x4             0x2 0x1 0x3 0x3 0x4 0x0 0x0 0x0 
0x102c  cmp reg1,reg3                 0x17 0x0 0x1 0x3 
0x1030  jge 0x1019                    0x14 0x19 0x10 0x0 0x0 
0x1019  mov reg4,[reg3]               0x1b 0x4 0x3 
0x101c  xor reg4,reg4,reg5            0x6 0x0 0x4 0x4 0x5 
0x1021  mov [reg3],reg4               0x1c 0x3 0x4 
0x1024  add reg3,reg3,0x4             0x2 0x1 0x3 0x3 0x4 0x0 0x0 0x0 
0x102c  cmp reg1,reg3                 0x17 0x0 0x1 0x3 
0x1030  jge 0x1019                    0x14 0x19 0x10 0x0 0x0 
0x1019  mov reg4,[reg3]               0x1b 0x4 0x3 
0x101c  xor reg4,reg4,reg5            0x6 0x0 0x4 0x4 0x5 
0x1021  mov [reg3],reg4               0x1c 0x3 0x4 
0x1024  add reg3,reg3,0x4             0x2 0x1 0x3 0x3 0x4 0x0 0x0 0x0 
